Title,Image,URL,Date,Label
"Google Makin Tertekan, Terancam Lengser Jadi Raja Internet",https://akcdn.detik.net.id/visual/2018/07/24/69720b71-4b66-40e0-87ce-971d246e96cd_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005151516-37-478207/google-makin-tertekan-terancam-lengser-jadi-raja-internet,22 jam yang lalu,Tech
"TikTok Shop Tutup Jadi Hari PHK Nasional, Teten Buka Suara",https://akcdn.detik.net.id/visual/2023/10/04/karyawan-melihat-produk-yang-dijual-melalui-tiktok-shop-di-jakarta-rabu-4102023-cnbc-indonesiafaisal-rahman-6_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005142801-37-478164/tiktok-shop-tutup-jadi-hari-phk-nasional-teten-buka-suara,22 jam yang lalu,Tech
"Tiktok Shop Ditutup, Teten Kasih Syarat Agar Buka Lagi",https://akcdn.detik.net.id/visual/2023/10/05/menteri-koperasi-dan-usaha-kecil-dan-menengah-teten-masduki-cnbc-indonesianovina_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005135506-37-478145/tiktok-shop-ditutup-teten-kasih-syarat-agar-buka-lagi,23 jam yang lalu,Tech
"Oppo Find N3 Flip Tiba di RI Bulan Ini, Cek Harga-Spesifikasi",https://akcdn.detik.net.id/visual/2023/10/05/oppo-find-n3-flip_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005122854-37-478106/oppo-find-n3-flip-tiba-di-ri-bulan-ini-cek-harga-spesifikasi,1 hari yang lalu,Tech
Cara Beli Tiket Kereta Cepat Jakarta Bandung Tanpa Biaya,https://akcdn.detik.net.id/visual/2023/10/02/staf-berdiri-untuk-menyambut-penumpang-kereta-cepat-jakarta-bandung-yang-diberi-nama-whoosh-akhirnya-diresmikan-presiden-joko-_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005074844-37-478002/cara-beli-tiket-kereta-cepat-jakarta-bandung-tanpa-biaya,1 hari yang lalu,Tech
TikTok Shop Tutup Demi Lindungi UMKM? Ini Kata Kemenkop UKM,https://akcdn.detik.net.id/visual/2023/10/05/kemenkop-ukm-soal-tiktok-shop-tutup-demi-lindungi-umkm-cnbc-indonesia-tv_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005113301-39-478089/tiktok-shop-tutup-demi-lindungi-umkm-ini-kata-kemenkop-ukm,1 hari yang lalu,Tech
"Investor GoTo Ramal Nasib Manusia 10 Tahun Lagi, Ngeri!",https://akcdn.detik.net.id/visual/2023/07/08/tech-aiun-5_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005114322-37-478092/investor-goto-ramal-nasib-manusia-10-tahun-lagi-ngeri,1 hari yang lalu,Tech
"TikTok Shop Tutup, Tepat Atasi Praktik Predatory Pricing?",https://akcdn.detik.net.id/visual/2023/10/05/tiktok-shop-tutup-tepat-atasi-praktik-predatory-pricingi-cnbc-indonesia-tv_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005113419-39-478090/tiktok-shop-tutup-tepat-atasi-praktik-predatory-pricing,1 hari yang lalu,Tech
"Daftar Password Mudah Dibobol dalam 1 Detik, Buruan Ganti!",https://akcdn.detik.net.id/visual/2020/11/23/infografisawas-dibobol-hacker-jangan-pakai-10-password-buruk-ini_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005112335-37-478080/daftar-password-mudah-dibobol-dalam-1-detik-buruan-ganti,1 hari yang lalu,Tech
"Video: QRIS, Kemudahan Bertransaksi Di Era Digitalisasi",https://akcdn.detik.net.id/visual/2023/10/05/cnbc-indonesia-tv_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005111558-39-478077/video-qris-kemudahan-bertransaksi-di-era-digitalisasi,1 hari yang lalu,Tech
Penyebab Baterai iPhone 15 Kepanasan dan Cara Mengatasinya,https://akcdn.detik.net.id/visual/2023/09/22/pembeli-pertama-iphone-15-rela-nginap-dan-hujan-hujanan-di-depan-toko-dok-james-d-morgan-via-afp_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005105330-37-478075/penyebab-baterai-iphone-15-kepanasan-dan-cara-mengatasinya,1 hari yang lalu,Tech
"Investree Dapat Pendanaan Seri D Rp 3,6 T Dipakai untuk Ini",https://akcdn.detik.net.id/visual/2023/10/05/president-director-kanan-co-founder-ceo-of-investree-adrian-gunadi_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005104208-37-478070/investree-dapat-pendanaan-seri-d-rp-36-t-dipakai-untuk-ini,1 hari yang lalu,Tech
Google Pixel 8 Bawa Fitur Super Canggih Tak Ada di HP Lain,https://akcdn.detik.net.id/visual/2023/10/05/google-pixel-8-pro-2_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005101205-37-478047/google-pixel-8-bawa-fitur-super-canggih-tak-ada-di-hp-lain,1 hari yang lalu,Tech
30 Twibbon HUT TNI 2023 Lengkap dengan Ucapan WhatsApp,https://akcdn.detik.net.id/visual/2023/10/05/upacara-peringatan-hari-ulang-tahun-hut-ke-78-tentara-nasional-indonesia-tni-hari-ini-di-monumen-nasional-monas-jakarta-kamis--2_43.png?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005093002-37-478036/30-twibbon-hut-tni-2023-lengkap-dengan-ucapan-whatsapp,1 hari yang lalu,Tech
